Wrong Format: 
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 695
p 0
r -2
cm 4638806
ry -70
rp 0
rr -3
ay -2618
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 695
p 0
r -2
cm 4640231
ry -70
rp 0
rr -3
ay -2618
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 695
p 0
r -2
cm 4641643
ry -70
rp 0
rr -3
ay -2618
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 695
p 0
r -2
cm 4643061
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 694
p 0
r -2
cm 4644462
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 694
p 0
r -2
cm 4645868
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 694
p 0
r -2
cm 4647270
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 694
p 0
r -2
cm 4648677
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 694
p 0
r -2
cm 4650083
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 694
p 0
r -2
cm 4651501
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 2
y 694
p 0
r -2
cm 4652920
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 2
y 694
p 0
r -2
cm 4654342
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 2
y 694
p 0
r -2
cm 4655757
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 694
p 0
r -2
cm 4657165
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 694
p 0
r -2
cm 4658566
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 694
p 0
r -2
cm 4659975
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 694
p 0
r -2
cm 4661395
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 694
p 0
r -2
cm 4662820
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 694
p 0
r -2
cm 4664232
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 694
p 0
r -2
cm 4665648
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 694
p 0
r -2
cm 4667061
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 694
p 0
r -2
cm 4668477
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 694
p 0
r -2
cm 4669885
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 694
p 0
r -2
a_c=%; 3000
r_c=%; 100
cm 4671293
ry -70
rp 0
rr -3
y_a_c=%; 3000
y_r_c=%; 70
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 694
p 0
r -2
cm 4672714
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 694
p 0
r -2
cm 4674134
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 694
p 0
r -2
a_i_c=%; 500
r_i_c=%; 10
y_a_i_c=%; 0
y_r_i_c=%; 0
cm 4675562
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 694
p 0
r -2
pe=%; 50
re=%; 50
ye=%; 100
cm 4676988
ry -70
rp 0
rr -3
tl=%; 1400
th=%; 1700
ay -2687
ap 0
ar -90
